material_id,formula_pretty,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,total_magnetization,nsites,density,volume,energy_per_atom,e_total,is_magnetic,space_group_symbol,space_group_number,crystal_system,point_group,ordering,icsd_ids,has_props,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
mp-cpxiw,Nb2CuS4,-0.9858095660714281,0.21842356494898402,False,0.0,0.0080022,28,4.928632853468528,508.9043732034225,-6.8217249375,,False,Pnma,62,Orthorhombic,mmm,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cqwty,Nb2CuS4,-0.939789078214285,0.26444405280612704,False,0.0,0.0033398,28,4.866809285268724,515.3690366779402,-6.775704449642857,,False,Pnma,62,Orthorhombic,mmm,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cslee,Nb2CuS4,-0.884403073214285,0.319830057806127,False,0.0,0.039056,28,5.471216274722352,458.4360564637853,-6.720318444642857,,False,Pnma,62,Orthorhombic,mmm,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-crmde,Nb3(CuS3)2,-1.0980409045454531,0.051454356883113006,False,0.0,0.0021391,22,4.918228181031594,403.94073885620503,-6.855014971363636,,False,P3m1,156,Trigonal,3m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-bnidm,Nb24(CuS8)5,-1.279653317536231,0.03754823492754,False,0.0,0.782334499999999,69,4.960469708124676,1282.1371812165823,-7.488686111884058,,False,Cm,8,Monoclinic,m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': False, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bmlqf,Cu(Mo3S4)2,-0.7055114344999991,0.067402601666668,False,0.0,0.0010084,30,5.494787996731791,541.3693143657857,-16.14224279833333,,False,P1,1,Triclinic,1,NM,,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bmlrp,Cu3(Mo3S4)4,-0.6779221646774191,0.070059160645159,False,0.0,0.0003594,31,5.635070548039845,546.6178639012173,-15.966591097419355,,False,P1,1,Triclinic,1,NM,,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-xcn,Cu(RhS2)2,-0.5615106980357121,0.0,True,0.0,5.0400000000000005e-05,14,5.612007952010777,235.3020764369096,-13.597996722142856,,False,Fd-3m,227,Cubic,m-3m,NM,"icsd-41900,icsd-628767","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': True, 'substrates': True}",,,,,,
mp-crthc,Cu3Pd13S7,-0.314113620095107,0.005943217065215001,False,0.0,0.049299699999999,23,8.204970912341734,363.9948942851584,-17.15170255576087,,False,R3m,160,Trigonal,3m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cqpdy,CuAgS,-0.083107833159724,0.10208244555555601,False,0.0,1e-07,6,6.878229007715132,98.24772058665614,-13.495344623888892,,False,P4/nmm,129,Tetragonal,4/mmm,NM,icsd-251149,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cjikh,CuAgS,-0.15457512815972202,0.030615150555558003,False,0.6381999999999991,0.0027642,6,6.08884614605328,110.98495601158456,-13.56681191888889,,False,Cmc2_1,36,Orthorhombic,mm2,NM,"icsd-251148,icsd-66580","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-hkw,CuAgS,-0.16145748815972402,0.023732790555555,False,0.5674,0.0006202,12,6.12645663731032,220.60723243042844,-13.573694278888892,,False,Pnma,62,Orthorhombic,mmm,NM,icsd-66581,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-net,CuAgS,-0.161548739826391,0.023641538888888,False,0.26270000000000004,2.1e-06,6,5.9220796908548845,114.11030532476309,-13.57378553055556,,False,Cmcm,63,Orthorhombic,mmm,NM,icsd-30233,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-imf,CuAg3S2,-0.10558837246527701,0.04619369986111,False,0.0,6.55e-05,24,6.5816035111079145,455.43251885894466,-15.269338687361113,,False,I4_1/amd,141,Tetragonal,4/mmm,NM,"icsd-67526,icsd-163982","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bkrzf,CuAg3S2,-0.112988973298608,0.038793099027779006,False,0.18280000000000002,6.570000000000001e-05,24,6.624135392223518,452.50830300263397,-15.276739288194443,,False,I4_1/a,88,Tetragonal,4/m,NM,icsd-163983,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-crhsp,TaCuS2,-1.011595851833333,0.06182721499999601,False,0.0,0.0006336,8,7.812024902332793,131.20337326949254,-7.07182826125,,False,P6_3mc,186,Hexagonal,6mm,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-pxk,TaCu3S4,-0.8680332296666661,0.0,True,1.9231,0.0,8,5.025571147896058,165.15806593774687,-5.957300530000001,6.368539509999998,False,P-43m,215,Cubic,-43m,NM,"icsd-185524,icsd-183995,icsd-628903,icsd-53335,icsd-628897","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': True, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
